1;WOJEWÓDZTWO;TYP;NAZWA URZĘDU;KOD;MIASTO;ULICA;NR BUDYNKU / LOKALU;adres;POCZTA;NR TELEFONU   wraz z nr kierunkowym  ;NR FAXU;ADRES E-MAIL URZĘDU;kod jednostki;ADRESY STRON BIP JEDNOSTEK KAS
2;dolnośląskie;IAS;Izba Administracji Skarbowej we Wrocławiu;53-333;Wrocław;Powstańców Śląskich ;24,26;53-333 Wrocław, Powstańców Śląskich  24,26;Wrocław;(71) 365-24-00;(71) 365-27-80;is@ds.mofnet.gov.pl;0201;www.dolnoslaskie.kas.gov.pl
3;dolnośląskie;US;Urząd Skarbowy w Bolesławcu;59-700;Bolesławiec;Garncarska ;10;59-700 Bolesławiec, Garncarska  10;Bolesławiec;(75) 646-52-00;(75) 646-52-01;us0202@ds.mofnet.gov.pl;0202;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-boleslawcu
4;dolnośląskie;US;Urząd Skarbowy w Bystrzycy Kłodzkiej;57-500;Bystrzyca Kłodzka;Adama Mickiewicza ;5;57-500 Bystrzyca Kłodzka, Adama Mickiewicza  5;Bystrzyca Kłodzka;(74) 811-79-50;(74) 811-11-27;us0203@ds.mofnet.gov.pl;0203;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-bystrzycy-klodzkiej
5;dolnośląskie;US;Urząd Skarbowy w  Dzierżoniowie;58-200;Dzierżoniów;Pocztowa ;14;58-200 Dzierżoniów, Pocztowa  14;Dzierżoniów;(74) 831-63-16;(74) 831-49-19;us0204@ds.mofnet.gov.pl;0204;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-dzierzoniowie
6;dolnośląskie;US;Urząd Skarbowy w Głogowie;67-200;Głogów;Adama Mickiewicza ;53;67-200 Głogów, Adama Mickiewicza  53;Głogów;(76) 727-24-00;(76) 727-24-01;us0205@ds.mofnet.gov.pl;0205;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-glogowie
7;dolnośląskie;US;Urząd Skarbowy w Jaworze;59-400;Jawor;Jurija Gagarina ;5;59-400 Jawor, Jurija Gagarina  5;Jawor;(76) 871-72-00;(76) 870-62-24;us0206@ds.mofnet.gov.pl;0206;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jaworze
8;dolnośląskie;US;Urząd Skarbowy w Jeleniej Górze;58-506;Jelenia Góra;Thebesiusa;1;58-506 Jelenia Góra, Thebesiusa 1;Jelenia Góra;(75) 647-35-00;(75) 647-35-37;us0207@ds.mofnet.gov.pl;0207;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-jeleniej-gorze
9;dolnośląskie;US;Urząd Skarbowy w Kamiennej Górze;58-400;Kamienna Góra;Papieża Jana Pawła II ;18;58-400 Kamienna Góra, Papieża Jana Pawła II  18;Kamienna Góra;(75) 744-93-60;(75) 744-93-92;us0208@ds.mofnet.gov.pl;0208;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-kamiennej-gorze
10;dolnośląskie;US;Urząd Skarbowy w  Kłodzku;57-300;Kłodzko;Walasiewiczówny ;1;57-300 Kłodzko, Walasiewiczówny  1;Kłodzko;(74) 647-43-00;(74) 647-43-70;us0209@ds.mofnet.gov.pl;0209;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-klodzku
11;dolnośląskie;US;Urząd Skarbowy w Legnicy;59-220;Legnica;Wrocławska ;37;59-220 Legnica, Wrocławska  37;Legnica;(76) 851-15-11;(76) 851-15-01;us0210@ds.mofnet.gov.pl;0210;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-legnicy
12;dolnośląskie;US;Urząd Skarbowy w Lubaniu;59-800;Lubań;Stara ;1;59-800 Lubań, Stara  1;Lubań;(75) 722-91-00;(75) 722-91-01;us0211@ds.mofnet.gov.pl;0211;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubaniu
13;dolnośląskie;US;Urząd Skarbowy w Lubinie ;59-300;Lubin;Marii Skłodowskiej Curie ;94;59-300 Lubin, Marii Skłodowskiej Curie  94;Lubin;(76) 746-11-00;(76) 847-84-70;us0212@ds.mofnet.gov.pl;0212;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lubinie
14;dolnośląskie;US;Urząd Skarbowy w Lwówku Śląskim;59-600;Lwówek Śląski;Budowlanych ;1;59-600 Lwówek Śląski, Budowlanych  1;Lwówek Śląski;(75) 782-03-00;(75) 782-02-99;us0213@ds.mofnet.gov.pl;0213;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-lwowku-slaskim
15;dolnośląskie;US;Urząd Skarbowy w Miliczu;56-300;Milicz;Składowa ;2;56-300 Milicz, Składowa  2;Milicz;(71) 380-51-00;(71) 380-51-10;us0214@ds.mofnet.gov.pl;0214;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-miliczu
16;dolnośląskie;US;Urząd Skarbowy w  Nowej Rudzie;57-400;Nowa Ruda;Kolejowa ;23;57-400 Nowa Ruda, Kolejowa  23;Nowa Ruda;(74) 872-02-00;(74) 872-25-06;us0215@ds.mofnet.gov.pl;0215;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-nowej-rudzie
17;dolnośląskie;US;Urząd Skarbowy w Oleśnicy;56-400;Oleśnica;Lwowska 34-38;34-38;56-400 Oleśnica, Lwowska 34-38 34-38;Oleśnica;(71) 314-90-05;(71) 314-97-73;us0216@ds.mofnet.gov.pl;0216;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olesnicy
18;dolnośląskie;US;Urząd Skarbowy w Oławie ;55-200;Oława;Lwowska ;1;55-200 Oława, Lwowska  1;Oława;(71) 303-94 -39;(71) 313-47-90;us0217@ds.mofnet.gov.pl;0217;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-olawie
19;dolnośląskie;US;Urząd Skarbowy w Strzelinie;57-100;Strzelin;Bolka I Świdnickiego ;14;57-100 Strzelin, Bolka I Świdnickiego  14;Strzelin;(71) 392-72-86;(71) 392-72-88;us0218@ds.mofnet.gov.pl;0218;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-strzelinie
20;dolnośląskie;US;Urząd Skarbowy w Środzie Śląskiej;55-300;Środa Śląska;Oławska  ;5A;55-300 Środa Śląska, Oławska   5A;Środa Śląska;(71) 757-25-00;(71) 757-25-04;us0219@ds.mofnet.gov.pl;0219;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-srodzie-slaskiej
21;dolnośląskie;US;Urząd Skarbowy w Świdnicy;58-100;Świdnica;Marii Skłodowskiej Curie 1-3;1-3;58-100 Świdnica, Marii Skłodowskiej Curie 1-3 1-3;Świdnica;(74) 856-14-00;(74) 856-14-90;us0220@ds.mofnet.gov.pl;0220;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-swidnicy
22;dolnośląskie;US;Urząd Skarbowy w Trzebnicy;55-100;Trzebnica;Prusicka ;2;55-100 Trzebnica, Prusicka  2;Trzebnica;(71) 388-72-00;(71) 387-10-35;us0221@ds.mofnet.gov.pl;0221;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-trzebnicy
23;dolnośląskie;US;Urząd Skarbowy w  Wałbrzychu;58-306;Wałbrzych;Uczniowska ;21;58-306 Wałbrzych, Uczniowska  21;Wałbrzych;(74) 664-33-00;(74) 841-13-01;us0222@ds.mofnet.gov.pl;0222;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-walbrzychu
24;dolnośląskie;US;Urząd Skarbowy w Wołowie;56-100;Wołów;Tadeusza Kościuszki ;17;56-100 Wołów, Tadeusza Kościuszki  17;Wołów;(71)757-25-60;(71) 757-25-99;us0223@ds.mofnet.gov.pl;0223;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-wolowie
25;dolnośląskie;US;Urząd Skarbowy Wrocław - Fabryczna;53-238;Wrocław ;Ostrowskiego ;5;53-238 Wrocław , Ostrowskiego  5;Wrocław ;(71) 797-73-00;(71) 797-56-03;us0224@ds.mofnet.gov.pl;0224;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-fabryczna
26;dolnośląskie;US;Urząd Skarbowy Wrocław - Krzyki;53-310;Wrocław;Sztabowa ;100;53-310 Wrocław, Sztabowa  100;Wrocław;(71) 79 85 201;(71) 373-22-17;us0225@ds.mofnet.gov.pl;0225;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-krzyki
27;dolnośląskie;US;Urząd Skarbowy Wrocław - Psie Pole;50-231;Wrocław;Trzebnicka ;33;50-231 Wrocław, Trzebnicka  33;Wrocław;(71) 326-52-00;(71) 329-17-86;us0226@ds.mofnet.gov.pl;0226;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-psie-pole
28;dolnośląskie;US;Urząd Skarbowy Wrocław - Stare Miasto;53-654;Wrocław;Inowrocławska ;4;53-654 Wrocław, Inowrocławska  4;Wrocław;(71) 786-67-00;(71) 786-67-50;us0227@ds.mofnet.gov.pl;0227;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-stare-miasto
29;dolnośląskie;US;Urząd Skarbowy Wrocław - Śródmieście;50-044;Wrocław;Marszałka Józefa Piłsudskiego;27-29;50-044 Wrocław, Marszałka Józefa Piłsudskiego 27-29;Wrocław;(71) 343-53-76;(71) 344-55-56;us0228@ds.mofnet.gov.pl;0228;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-wroclaw-srodmiescie
30;dolnośląskie;US;Pierwszy Urząd Skarbowy we Wrocławiu ;50-515;Wrocław;Ks. Czesława Klimasa ;34;50-515 Wrocław, Ks. Czesława Klimasa  34;Wrocław;(71) 795-05-00;(71) 795-05-02;us0229@ds.mofnet.gov.pl;0229;www.dolnoslaskie.kas.gov.pl/pierwszy-urzad-skarbowy-we-wroclawiu
